,word,values_
179,radio-television,"[ 6.2923e-01 -7.5277e-01  3.4083e-01  1.0280e-02  2.2273e-01 -1.0972e+00
 -7.9311e-01  1.1074e-01 -7.0992e-01 -4.0046e-01 -3.7975e-02 -3.8996e-01
 -4.4742e-01  6.6525e-02 -2.2842e-01 -3.9461e-01  5.7622e-01 -3.7382e-01
 -1.6407e-01  1.6369e-01 -2.1651e+00 -6.8363e-01  7.0847e-01 -4.9998e-01
  3.4205e-01 -6.6073e-01  8.2821e-01  1.0256e+00  1.0141e+00  1.2919e-01
 -1.9632e-01  3.8499e-01 -7.7247e-01 -3.5978e-01  6.5374e-01  6.8236e-01
  2.8436e-01 -5.9568e-02  2.3586e-01 -1.7300e-01  4.2397e-01 -1.1411e-01
 -9.8233e-01  1.8120e-01  3.4405e-01  5.5533e-02 -1.8422e-01  1.3243e-01
 -5.1107e-04 -7.5085e-02 -1.3607e-01  7.4393e-01  8.8986e-01  1.8079e-01
  1.7990e-01  7.5940e-01  4.4756e-03  7.7550e-01  1.2104e+00 -4.6611e-01
  4.6411e-01 -3.1845e-01 -2.0682e-01  1.1204e+00 -6.8543e-01 -2.4463e-01
 -1.7816e-01 -1.1672e-01  8.1917e-02 -1.0128e-01 -1.8997e-01  1.4484e-01
  5.5952e-01  1.1409e+00  1.8060e-02  1.3573e-01 -2.0900e-02  1.2923e+00
 -5.5972e-01 -1.0200e+00 -1.2227e-01 -1.5275e-01  1.2669e+00 -4.3471e-02
  5.4809e-01 -8.7697e-02  7.7720e-01  4.0512e-01  3.8511e-02 -5.2285e-01
  1.8520e+00 -8.6345e-01 -2.3681e+00  3.3028e-01  3.2658e-01  1.2833e+00
  2.6485e-01  2.6706e-01  2.9613e-01 -1.6498e-01]"
180,scindia,"[-0.46419    0.49219    0.68212    1.1995    -0.64637   -0.67377
  0.085453   0.29926   -0.68683    0.20142    0.44774    0.17051
 -0.6562     0.4288    -0.21832   -0.66169   -0.15812    0.17077
  0.2472    -0.10955   -1.0401     0.22361    0.31474    0.07456
 -0.45964   -0.23381   -0.44018    0.94951    0.44413    1.1158
  0.035283   0.092304  -0.22422   -0.055257  -0.71423    0.061719
 -0.45358    0.037875   0.85407   -0.47409   -0.74897    0.55548
 -0.21631   -0.85685   -0.051458  -0.17782    0.56105    0.46435
  0.85488    1.157     -0.47051   -0.020542   0.54897    0.12874
  0.20371    1.1802    -0.59138    0.079142  -0.56806   -0.0079806
  0.22647   -1.1728     0.29351    0.6771     0.35958    0.59598
  0.32736   -0.34592    0.087377   0.22406    0.33441    0.35068
  0.42731    0.4231    -0.62421    0.49155   -0.83987    0.22067
 -0.53827    0.30551    0.24989   -0.03363    0.53473   -0.083903
 -0.33992    0.57112    0.33555    0.35313   -0.32509   -0.34027
  0.32021   -0.58702    0.23239    0.57185    0.027432  -0.84338
  0.22665   -0.052771   0.60774    0.14225  ]"
181,rigoberto,"[-0.30799   -0.15044   -0.041926  -0.73324   -0.076792  -0.1511
  0.68889   -0.18357    0.45622    0.85307   -0.67304    0.94091
 -0.073392  -0.87279    0.0148     0.0088158  0.23341    0.19624
  0.11959   -0.37514   -0.72507   -0.22657   -0.011912   0.89839
 -0.70177    0.40808    0.066458  -0.17463    0.14596   -0.32809
  0.04622    0.10478    0.10989    0.11951    0.64387    1.0025
 -0.17188    0.63872    0.58732    0.68781    0.40417   -0.066986
  0.58616    0.014977  -1.1567    -0.40491   -0.82698    0.03587
 -0.59711    0.43991    0.21142    0.020501  -0.29684   -0.35573
  0.034316   0.80314    0.31204    0.75157   -0.2989    -0.1025
 -0.71701    0.12012    0.35797    0.72159   -0.39573   -0.66289
  0.34981   -0.36692    0.40527    0.54478    0.028279  -0.074081
 -0.61101   -0.28492    0.49621    1.2715     0.3982     0.65465
 -0.39032    0.27807   -0.90349   -1.1974    -0.05545    0.22506
  0.36805    0.32582    0.11543    0.68124   -0.46      -0.10987
  0.34578    0.1835    -0.27431    0.61312   -0.051421  -0.17674
 -0.073742  -0.19313   -0.7248    -0.4015   ]"
182,hickenlooper,"[-0.32395   -0.2675    -0.10797   -0.86892    0.6709    -0.28222
 -0.1494     0.19766    0.45147    0.14873   -1.055     -0.39208
 -0.82685   -0.61225    0.028714  -0.52245   -0.32872    0.27469
 -0.30273   -0.073564  -0.64378   -0.4305    -0.81977    0.10923
 -0.28714   -0.45657   -0.01477    0.28159    0.007361  -0.41218
  0.054311   0.019524   0.70452    0.57115   -0.33459    0.099852
 -0.063514   0.2917    -0.11078    0.5689    -0.067501   0.022394
  0.33646    0.089636  -0.82619    0.31922   -0.39293   -0.7986
  0.31051    1.0182    -0.14233    0.017771   0.79568   -0.24377
 -0.30688    0.049994   0.44717    0.52776   -1.0031    -0.88538
 -0.37873   -0.051389  -0.083671  -0.067193   0.64237    0.0082894
  0.3949    -0.15236   -0.62974    0.46914   -0.10265   -0.067645
  0.16832    0.62919    0.29525   -1.0295     0.031438   0.26654
 -0.12325    0.061997   0.060248  -0.058739  -0.31019    0.52361
  0.50096   -0.4685     0.33538   -0.10195   -0.6331    -0.37448
  0.0034649 -1.0199    -0.24701    0.094501  -0.41867    0.20602
  0.13102    0.58484   -0.49788   -0.15552  ]"
183,carryover,"[ 0.15348    0.7612     0.69659   -0.13278   -0.45473   -0.16408
  1.1611     0.0014297 -0.092097  -0.23794   -0.8289     0.84012
 -0.36529   -0.37876    0.81985    0.7976    -0.68856   -0.0020022
  0.58319   -0.2687    -0.0772     0.31225    0.0056066  0.12673
  0.057421  -0.47728    0.15467    0.10238   -0.52261   -0.88042
  0.34599   -1.0789    -1.1794    -0.065929  -0.45961    0.27635
 -0.42409   -0.032394   0.066438  -0.21174   -0.25969    0.51106
  0.45203    0.024829   0.04232   -0.039676  -0.23484   -0.25299
 -0.57991   -0.67956   -0.30811   -0.12124    0.57711   -0.6415
  0.39025    0.41262    0.068637  -0.50874    0.44873   -0.21797
 -0.36749    0.50411   -0.58885    0.81025   -0.063787  -0.51387
  0.34199   -0.28448    0.28544   -0.39682    0.40299   -0.48127
  0.19087    0.21179   -0.12274    0.68346    0.36689   -0.64993
 -0.32284    0.14689   -0.89922   -0.4584    -0.24769   -0.15524
  0.2281     0.29143    0.66781   -0.12955   -0.065113   0.20255
 -0.48278    0.66989   -0.57524   -0.33344    0.0031536 -0.069991
  0.71075   -0.13502    0.082764   0.70556  ]"
184,blacklists,"[ 0.21293    0.26766    0.22384   -1.1429     0.80966   -0.18696
 -0.56857   -0.69124    0.1021    -0.085075   0.29958   -0.35475
  0.24938    0.34524    0.61216    1.6519     0.34398   -0.11389
  0.073117   0.073875  -0.052758   0.30076    0.62166   -0.38032
  0.39301    0.18884    0.08669    0.42154   -0.11404   -0.095799
  1.2762    -0.059941  -0.50374   -0.56943   -0.72243    0.61748
  0.23825   -1.0253    -1.3708    -0.34434   -0.14754    0.30534
  0.19232    1.0918     0.52669    0.15812    0.47879    1.2093
 -0.67481    0.41672    0.15754    0.60717   -0.21238    0.48712
 -0.84768    0.66481    0.061624   0.2367    -0.66102    0.52046
 -0.78675    0.029107  -0.10274   -0.010451  -0.38593    0.1669
 -0.61173    0.67611    0.11873   -0.14078   -0.15032   -1.3797
 -0.72119    0.078287   0.27529   -0.50243    0.12427    0.014012
 -0.41376    0.15858    0.11117   -0.1111    -0.3473     0.6119
 -0.0024708 -0.035076   0.52504    0.011446  -0.19039    0.58172
 -0.96249    0.66753   -0.029279  -1.1518     0.8351     0.33129
 -0.15156    0.29106    0.55376    0.50362  ]"
185,grotesquely,"[-1.1762e-02  3.1677e-01  2.9634e-02 -5.8548e-01  3.3115e-01  8.1477e-01
 -6.2514e-01  3.0867e-01  4.4666e-01  3.5242e-01 -2.0583e-01  5.8026e-01
  8.5469e-01 -3.7232e-01  6.9001e-02  5.1075e-01 -5.8574e-01 -9.5535e-02
  6.4982e-01  4.0738e-02  3.1794e-01  4.5763e-01  5.4603e-01  2.2506e-01
  8.5030e-01 -9.0447e-02 -3.1140e-01  1.3397e-01 -1.8907e-01  7.7606e-03
  5.4182e-01 -2.2945e-01 -3.8553e-01 -3.6691e-01 -3.4755e-01 -1.3586e-01
 -2.2670e-01 -5.7832e-01 -6.5749e-01  6.7194e-01  6.2033e-01  4.5271e-01
 -2.4498e-01 -3.6987e-01 -3.8681e-01  3.2737e-01  4.6364e-01  1.1306e+00
 -1.9114e-01  3.0690e-02  1.4649e-01 -4.6654e-01  1.9925e-01  1.2492e-01
 -4.7342e-01  3.6470e-01  6.4300e-01  3.3155e-01 -5.4665e-01 -4.3254e-01
  1.1109e-01  7.6735e-01 -2.4936e-01  1.1272e-03 -4.4427e-01 -5.6549e-01
 -2.5262e-02 -2.2726e-01  1.9816e-02 -3.0381e-01  5.4285e-01 -3.7128e-01
  3.7865e-01  7.4166e-01  5.0340e-01 -3.9088e-01  3.0626e-01  2.2951e-01
  3.7946e-01 -1.7929e-01  9.2767e-03  1.5522e-01 -3.3577e-01 -1.5414e-02
 -2.8615e-01 -9.2847e-01  1.2207e-01  1.1712e-01 -7.6323e-01 -1.7499e-01
 -1.1753e-01  3.9809e-01 -1.5663e-01 -2.1146e-02  5.5665e-01 -6.1637e-01
 -7.2064e-02 -5.1236e-01 -2.2894e-01 -4.6707e-01]"
186,aventura,"[-0.094714  -0.51877    0.69937    0.04152    0.14675    0.44059
  0.64187   -0.022197   0.71951    0.2865    -0.09189   -0.19743
 -0.61518   -0.88829   -0.28341   -0.16738    0.67616    0.15471
  0.19161    0.6337     0.70104   -0.3171    -0.6672    -0.30708
  0.27273   -0.11385   -0.8615    -0.18908   -0.24786    0.083498
 -0.76039   -0.99854   -0.069933   0.43671    0.37996    0.38362
  0.2859     0.2182     0.054882  -0.90549    0.52689    0.074594
 -0.36504   -0.3502    -0.096315   0.57036   -0.10424    0.59681
  0.4142     0.95176   -0.15149   -0.07171    0.1341    -0.82614
 -0.12524    0.041653   0.83196   -0.73729   -0.68469    0.55308
 -0.038348  -0.49413   -0.038298  -1.2652    -0.93557    0.75685
 -0.41415   -0.37628    0.37577    0.63528    0.046076   0.18349
 -0.81309   -0.27189   -0.40279    0.10632    0.256     -0.020228
 -0.14508   -0.026022  -0.29141   -0.67579   -0.4242     0.93852
  0.37751   -0.024681  -0.08241   -0.35949   -0.13054   -0.0036338
  0.032654  -0.073293   0.1018     0.11818   -0.19926    0.20663
 -0.18702   -0.014531   0.95136   -0.11688  ]"
187,chargé,"[ 0.83912   -0.96853   -0.24279    0.6647     0.089147  -0.14483
  0.23219   -0.31428   -0.063847   0.71136    0.28494   -0.52639
 -0.067503   0.65415   -0.94511   -0.63297    0.2881    -0.0061351
 -0.21223   -0.78461    0.59237    0.37852   -0.28693    0.28846
 -0.42068   -0.7007     1.2027     0.043511   0.9884     0.15313
 -0.060685   0.25758   -0.92139   -0.30857   -0.44242    1.1054
 -0.74742   -0.93843    0.31389   -0.97875   -0.094599   0.35132
 -0.18147    0.38589    0.5961    -0.043073  -0.5567    -0.27531
 -0.45383   -0.55645   -0.17835    0.18118   -0.10447    0.19115
 -0.90162   -0.62197    0.025777  -0.575     -1.2612    -0.65893
 -0.09643   -0.75473   -0.14683   -0.20396   -0.59649   -0.75766
 -0.52299   -0.29857   -0.03717    0.4648     1.0015    -0.24273
  0.32841   -0.58481    0.75349    0.24742    0.43871    0.92838
  0.23806   -0.57659   -0.31991   -0.014107   0.061462   0.14703
  0.81836   -0.38559    1.1366    -0.25638    0.49771   -1.5237
 -0.45371    0.46337    0.10987    0.1193     1.22      -0.35589
  0.15605    0.36012   -1.1063     0.2612   ]"
188,8.45,"[ 0.79513   -0.092033   0.12377    0.36435   -0.55815    0.1653
  0.26541    0.34796    0.13884   -0.1302     0.96171    0.3622
 -1.1182    -0.35666    0.67375   -0.39965   -0.65172   -0.49195
 -0.22064    0.079181   0.032522   0.14933   -0.28927    0.29953
  0.5191    -0.34638    0.47066    0.3781     0.23625   -0.11246
 -0.0095122  0.55898    0.13308   -0.43364   -0.74519    0.20265
  0.073472  -0.583     -0.21702    0.057132  -0.070675  -0.068131
 -0.31097   -0.094477  -0.30918    0.42537   -0.088152   0.099253
 -0.031309  -1.0144    -0.47704   -0.37588    0.72192   -0.22095
 -0.5386     0.47562   -0.025365  -0.29728   -0.03577   -0.51622
  0.072609  -0.59292    0.30135   -0.032937  -1.456     -0.28757
  0.023323  -0.29583    0.13878   -0.40806   -0.65359    0.18885
 -0.041634  -0.052425  -0.41716   -0.22264   -0.3173     0.12793
  0.029652  -0.19437   -0.29335    0.098975   0.091642   0.50996
  0.75016    0.64133    0.66886    0.43869   -0.17844    0.14135
 -0.34024    0.91813    0.061853  -0.31547   -0.61915   -0.072748
  0.044726  -0.88805    0.43593   -0.26002  ]"
189,geriatrics,"[-0.50106    0.58918    0.15489    0.66994   -0.39586    0.34068
  0.43271   -0.029222  -0.30253    0.057529  -0.65152    0.12887
  0.1339     0.43777   -0.29873    0.097948   0.27097    0.034232
 -0.29911   -0.056127   0.08034   -0.23356    0.2272    -0.71086
  0.6312     0.74973    0.13806   -0.99744   -0.16497   -0.074959
 -0.68547   -0.61414   -0.67163    0.12014   -0.45996    0.33201
 -0.95478    1.1019     0.30995    0.028659  -0.0073838  0.37809
 -0.97603   -0.11064   -0.44233    0.069513   0.37476    0.95367
 -0.82371   -0.12918    0.11801    0.33246   -0.42546   -0.69017
  0.64341    0.75117    0.5021    -0.54024    0.15872    0.64528
  0.77097   -0.43288    0.87518   -0.83134   -0.4219    -0.43938
 -0.1977     0.44428    0.47794    0.20612   -0.082188   0.041248
 -1.0371     0.85992    0.023591  -0.12876   -0.17601    0.48842
 -0.26115   -0.959     -0.41852    0.69753   -0.32717    0.49097
  0.24901    0.045415   0.36879   -0.025413  -0.19809   -0.053586
  0.7789     0.41452    0.58714    0.43306   -0.040732   0.32851
  0.41468    0.051585  -0.0083372  0.33889  ]"
190,11.10,"[ 0.86382   0.073806  0.17562   0.48639  -0.22942   0.35389  -0.33561
  0.1279   -0.081375  0.51511   1.5003    0.47807  -1.0974   -0.43387
  0.082027 -0.4452    0.070247 -0.59818  -0.26034   0.21956  -0.38672
 -0.1317    0.50791  -0.040416  0.44083   0.03076   0.90273   0.17953
  0.67608  -0.015877  0.26659   0.31567   0.18952   0.01735   0.24353
  0.20433   0.58236   0.69674   0.73485  -0.15482  -0.52463  -0.25296
  0.39435   0.40026  -1.0889    0.52805   0.30566   0.34989   0.15338
 -1.2039   -0.60468   0.040499  0.8879    0.5059   -0.41498   0.75772
 -0.20814  -0.28632  -0.73218   0.34994  -0.2337   -0.44412  -0.24024
 -0.41129  -1.1306   -0.1326    0.25754  -0.39823   0.58457  -0.21301
 -0.62137   0.2253    0.24019   0.36131  -0.33431   0.31487  -0.95656
  0.16341   0.96627  -0.37059  -0.081297  0.28657   0.79899   0.75165
  0.3521    0.44769   0.41091   0.58745   0.10519   0.65668  -0.198
  0.43475  -0.14389   0.073342 -0.081447  0.19116   0.049566 -0.73701
  0.35567  -0.92509 ]"
191,halfcourt,"[ 0.25094  -0.18233   0.16999  -0.22588  -1.0535    1.222     0.37962
  0.0811   -0.1742    0.22962  -0.45089   0.64648  -0.75277  -0.076573
  0.084771  0.66114  -0.52034   0.31662  -0.096815 -1.0644    0.2509
  0.57701   0.40801  -0.13451   0.54317   0.26833  -0.80054   0.37303
 -0.81424  -0.83195   0.23548   0.40113   0.41666  -0.24851   0.4113
 -0.45804  -0.5884    0.29048   0.37384  -0.68763   0.63929   0.18466
 -0.72393   1.0566   -0.37958   0.16651   0.34363  -0.050383 -0.27809
 -0.34026  -0.12985   0.41825  -0.51734  -0.18311   0.70117   0.33587
 -0.25686  -0.35152   0.52128   0.015169 -0.27135  -0.54674  -0.26622
 -0.18743  -0.50262  -0.51103   0.15111   0.53318  -0.92713   0.33022
  0.020965 -0.97993   1.6225   -0.1886   -0.0787    0.090994  0.079719
  0.009583  0.80333   0.32179   0.50439   1.3348   -0.72259  -0.31611
 -0.65913   0.63391   0.48161  -0.20199   0.060769 -0.12613   0.40393
  0.63752  -0.55528   0.15855   0.32436  -0.41352   0.16676   0.16452
  0.18097   0.65862 ]"
192,madea,"[-0.17022   -0.58799    1.2095    -1.1823     0.017598   0.14707
  0.0032979  0.97564    0.18177    0.41901   -1.0559     0.84394
 -1.0562     0.55333   -0.84087    0.44899    0.57079    0.47935
  0.77323    0.79205    0.9761    -0.40344   -0.33999   -0.13825
 -0.055487   0.69259   -0.73378   -0.43759    0.18116    0.25871
 -0.79859    0.039709   0.99722    0.85711    0.011231   0.50926
  0.86724    0.10467   -0.62273   -0.26822   -0.10745   -0.2806
  0.17088    0.86859   -0.43321   -0.1519    -0.56466    0.92207
  0.85524   -0.062422  -0.14963   -0.989      0.88307    0.12293
 -0.23726    0.50434    0.80298   -0.66663   -0.91384    0.13824
  0.063582   0.1704     0.50424    0.37327    0.55694    0.066979
 -0.074479   0.06946   -0.79776    0.63054   -0.11531   -0.29313
  0.28784    0.20014    0.14899    1.1453     0.47468   -0.77334
  0.28125    0.49679   -0.34329   -0.37436    1.0629    -0.25168
 -0.22268    0.22031   -0.67852   -0.77379    0.03969   -0.37539
 -0.38095    0.62089    0.18326   -1.1756     0.11145   -0.41086
  0.82767    0.1167    -0.34332   -0.19201  ]"
193,stonewalled,"[-0.1723    0.37693   0.11615   0.51777  -0.17786   0.20058  -0.39031
  0.37599   0.82714  -0.49448   0.61565   0.96327   0.37335  -0.53163
 -0.95161   0.19427  -0.5069    0.9311   -0.055792 -0.23182  -0.25127
  0.6863   -0.18819  -0.14908  -0.25779   0.26867  -0.63389   0.52953
 -0.75269   0.10427   0.33054  -0.46528   0.30037   0.34826  -0.17669
  0.51232  -0.65827  -0.57116   0.1409   -0.040807 -0.87839  -0.20507
 -0.37068   0.58088   0.70932  -0.16044   0.14673   0.093988  0.51611
  0.34724  -0.42165   0.036071  0.2562    0.51231  -0.65307   0.9996
  0.24261  -0.19856  -0.57902  -0.16918  -0.27868  -0.38377  -0.27492
  0.64903   0.018695 -0.78852   0.36929   0.80273   0.050556 -0.16897
 -0.16148   0.13993   0.3469   -0.2868    0.036494 -0.13559  -0.41997
  0.16163  -0.7259    0.079891  0.1616    0.49997   0.023751  0.57775
 -0.40908   0.24587   0.73787   0.6148   -0.62578   0.075835 -0.093824
 -0.084885 -0.37628   0.2972   -0.067359 -0.19825  -0.25271   0.7745
 -0.77786   0.16825 ]"
194,natixis,"[ 0.095939  -1.1327    -0.33689    0.39189   -0.074295  -0.16038
  0.1513    -0.0095388  0.57798   -0.098671  -0.65657    1.3842
 -0.94372    0.15665   -0.39635    0.13223   -0.64926   -0.3009
  0.72913    0.35677    0.19149    0.0089063 -0.25277    0.28048
  0.29114   -0.7373     0.095192  -0.11354   -0.24317   -0.051688
 -0.2276    -0.075692  -0.46766   -0.44584   -0.40568   -0.95742
  0.30504    0.32662   -0.18164   -0.93313    0.2464     0.048179
 -1.0252     1.0561     0.032017   0.71426   -0.28081    0.19537
 -0.91413   -0.066888  -0.48262   -0.62614   -0.012376  -0.40432
 -0.91397   -0.10285    0.1466    -0.009333  -1.2194     0.71777
  1.0144    -0.91979    0.059477  -0.07689   -0.84426    0.24691
 -0.26197    0.5148     0.26388   -0.17372   -0.14958    0.48677
 -0.36881   -1.0686    -0.012187  -0.39833    0.52432    0.30103
 -0.23221    0.061423   1.0156     0.51073   -0.24128    0.24461
  0.68081   -0.78648    0.3673    -0.41785   -0.032167   0.25421
 -0.4963    -0.16933    0.53277   -0.79822    0.2174     1.0165
 -0.32968   -0.51347   -0.50072    0.70914  ]"
195,karradah,"[ 0.82846  -0.83556   0.26531   0.19549   0.14357   1.0992    0.021279
  0.96756   0.88805   1.6314   -0.66949  -0.44304   0.99295  -0.17067
 -0.40336   0.62013  -0.3216    0.010344  0.6241   -0.34924   1.0706
  0.12873  -0.23302  -1.3269   -0.7455   -0.16823  -0.29279   0.25448
 -0.69947   0.35029  -0.36422  -0.50174   0.56751   0.56962  -0.35816
 -0.47221   1.1813    0.55673   0.44416   0.5499    0.64728   0.78459
  0.1914    0.37019   0.34924  -0.17064   0.10096  -0.38197  -0.20893
 -0.74046  -1.2593    0.13463  -0.50777   0.24947  -0.46279   0.076465
 -1.0527   -0.49415  -0.098185 -0.92337  -0.32717   0.45573   1.2406
 -0.47155  -0.42672  -0.83629  -0.44865  -0.42182  -0.31803   0.3838
 -0.87632  -0.17529   0.12185   0.21018  -0.11055   0.18524   0.35478
  0.14184   0.032445 -0.40037  -0.43461   1.3191   -0.90585  -0.15767
  0.33472  -0.026762 -1.0139    0.13175   0.2299    0.28152   0.74102
  0.67347  -0.68842   0.079857 -0.71025   0.71149   0.71581  -0.11834
 -0.5325    0.24569 ]"
196,atriss,"[-0.48294  -0.57278  -0.53119  -0.11927   0.017358 -0.59529   1.08
 -0.11626   0.96116   0.58045   0.93456   0.13956   0.25844  -1.0088
  0.38946   0.31278   0.030119  0.69882   0.78912  -0.38642  -0.40713
  0.94287  -0.04854   0.22185  -0.66971  -0.23021  -0.83575  -1.1745
 -0.67025  -0.86753   1.17     -0.44169   0.54653   0.80822   0.027705
 -0.4255    0.13097  -0.088569 -0.21728  -0.55324   0.054025 -0.68492
 -0.44086  -0.40698   0.20036   0.58621  -1.0567   -0.40994   0.48057
 -0.22222  -1.4563    0.20096  -0.27016  -0.5109   -0.48641   1.2258
 -0.1648    0.78464   0.41009  -1.0643    0.063325  0.024138  0.18063
 -1.5013   -0.82472   0.1077   -0.093002 -0.47793  -1.2092    0.05913
  0.39828   0.25517   0.019019 -0.85591  -0.32555  -0.14417   1.5544
 -1.26      0.27638   1.0106    1.0063   -1.0883    0.05029  -0.91242
  0.069203 -0.057734 -0.13154   0.18669  -0.3633    0.32174  -0.19378
 -0.72987   0.037858 -0.47069  -0.17204  -0.30133  -0.60281  -1.0413
 -0.24025  -1.1861  ]"
197,officals,"[ 0.19258   -0.3178     0.33548   -0.3565    -0.42187    0.12424
 -0.40739    0.28657    0.33774    0.0048033 -0.39565    0.27443
  0.34017    0.15775   -0.22478    0.044069  -0.20817    0.094358
 -0.28805   -0.18912   -0.091027   0.019604  -0.27556   -0.14985
 -0.87167   -0.22432   -0.13915    0.20585   -0.39866   -0.46045
  0.29914   -0.39733   -0.50494    0.17465   -0.06932    0.39842
 -0.87133    0.41315    0.19893   -0.29943   -0.60834   -0.2106
 -0.54864    0.016267   0.34219   -0.35987    0.17192    0.21827
 -0.2409    -0.0070485  0.28003   -0.55507   -0.11988   -0.014854
  0.13999    1.1615    -0.18173   -0.11854   -0.36398    0.58574
 -0.34474   -0.52776   -0.062298   0.27384   -0.72511   -0.19846
 -0.29209    0.5093     0.32808    0.0036873 -0.02023   -0.58782
  0.035522  -0.68061   -0.1512    -0.32599    0.70929   -0.13439
 -0.19213   -0.5439     0.11383   -0.25762    0.254      0.48003
 -0.17464   -0.35985    0.66584    0.9184    -0.54189    0.28313
  0.5828    -0.10079   -1.0527    -0.079949  -0.075526   0.25986
  0.063958   0.36152    0.28073    0.046569 ]"
198,carthaginians,"[ 0.040042  0.17986   0.067828  0.22639  -0.80225   0.43849   0.57009
 -0.66874   0.5027   -0.59659   0.058174 -0.1332   -0.09828  -0.34932
 -0.23438  -1.231    -0.083387 -0.51049  -0.91785  -0.44019  -0.029793
 -0.4598   -0.32206   0.43329   0.17226  -0.88221  -0.5569    0.23444
 -0.25755  -0.78994   0.10442  -0.096933 -0.32232  -0.021732  0.12071
 -0.4167    0.18772  -0.25908   0.7273    0.13134  -0.65514  -0.49424
 -0.28554  -0.17306   0.40188  -0.11663   0.62893  -0.086681  0.33789
  0.36207   0.11432   1.2675   -0.38997  -0.10584  -0.44104   0.40673
  0.027534 -0.61635  -0.91584  -0.31044  -0.45748  -0.02537  -0.18995
  0.60843  -0.18188  -0.27654  -0.82631  -0.081205 -0.37665   0.034663
 -0.56736  -0.66468  -0.12926   0.024814 -0.4986   -0.074009 -0.82914
  0.062328  0.076763  0.27706   0.3426   -0.043651 -0.63277   0.98525
 -0.12366   0.069834 -0.13062  -0.35079  -0.50578  -0.090568 -0.28784
 -0.67539   0.26155   0.51841  -0.21653  -0.91023  -0.43589   0.67674
 -0.21479   0.16674 ]"
199,caulking,"[-3.0099e-01  5.2557e-02  2.8246e-01 -1.3674e-01 -7.3249e-01  2.8668e-01
 -5.5890e-01  1.6190e-01  9.7958e-01  1.1167e+00  2.7702e-01 -5.6936e-01
  6.6220e-01  2.3301e-01  3.1441e-02  8.8653e-02 -4.7098e-02 -1.0449e-01
  1.4935e-01 -5.3462e-01 -7.3232e-01  2.5579e-01  3.3558e-02  2.7600e-01
 -5.7650e-01  2.8695e-01 -4.0100e-01 -1.6802e-01 -4.2321e-01  1.8938e-01
  1.4789e-01  8.6364e-02 -6.0551e-02  1.1508e-01  1.5999e-01 -1.9752e-01
 -3.9612e-01 -3.5922e-01  9.4527e-01  4.7133e-01 -4.4737e-01 -6.0717e-01
 -1.1875e-02 -1.6102e-01 -7.2966e-01 -3.2232e-01 -4.6904e-02  7.6531e-01
  1.4584e-01 -2.6360e-01  1.2415e-01  2.0898e-01 -7.4918e-01  2.2113e-01
  6.1409e-02 -6.0569e-02  7.2014e-02 -5.3851e-01  7.6349e-02 -4.1428e-01
 -5.9669e-01  6.2552e-01 -1.6353e-01  1.7627e+00 -8.8553e-01  3.4388e-01
  8.2858e-01 -1.9478e-01 -1.1508e+00 -9.5328e-01 -6.2411e-02 -3.3777e-01
  5.6702e-01  2.1319e-01 -6.2368e-05  4.1870e-01 -1.6900e-01 -2.3229e-01
  6.9186e-02 -1.4299e-01  4.9077e-01 -8.0862e-01  4.3374e-01  4.5432e-01
  7.2053e-01  1.0379e+00 -9.3381e-02 -2.3107e-01  2.9878e-01 -4.3969e-01
 -4.4401e-01  2.9423e-01 -1.4173e-01 -9.2334e-01  1.6118e+00  4.5447e-01
  4.9370e-01  6.9684e-01  9.7356e-02  1.0753e+00]"
200,mankiewicz,"[ 0.3061   -0.54946  -0.80865  -1.1711   -0.32966  -0.24054   0.11154
 -0.85235  -0.17808  -0.40832   0.1823    0.14076  -0.65759   0.63376
  0.46436  -0.37324   0.23181   0.077192  0.43792  -0.27631  -0.10952
  0.10962  -0.325    -0.38737  -0.37052  -0.26367  -0.4342    0.10548
  0.30759   0.23087  -0.28202   0.11934   0.14288   0.37497  -0.42585
  0.26446   1.1082    0.26997   0.033347  0.15545  -0.36292  -0.042232
 -0.31282   0.72117   0.1724   -0.11107  -0.32888  -0.71968  -0.10164
 -0.052034 -0.7688   -0.15463   0.40325   0.14541  -0.17336   0.64211
 -0.24379  -0.22139  -0.63069  -1.056    -0.083037  0.77585   0.6005
 -0.25561   0.85788  -1.0819    0.87031   0.79012  -0.53064   0.37885
 -0.15264   0.20344   0.13331   0.54199  -0.23593   0.26187  -0.52146
 -0.49764  -0.59341   0.32749  -0.59914  -0.22513  -0.4948    0.37739
  0.3168    0.31142   0.47495  -0.24602  -0.5878   -0.51467   0.025424
  0.26919   0.61352  -0.12481   0.78943  -0.08545   0.52974  -0.39711
 -0.39005   1.0452  ]"
