,word,values_
15,titleist,"[ 0.37595   -0.14967    0.40726   -0.11693    0.15377    0.10775
  1.4408     0.42886   -0.10331    0.64743   -0.20662   -0.54258
  0.074071   0.019711  -0.35456    0.0044004  0.12119   -0.29337
  0.23355    0.7259    -0.41424    0.83387    0.30163    0.21837
  0.30836    0.65535   -0.34069   -0.16337    0.18124   -0.14554
  0.54751    0.90692   -0.37704   -0.10799    0.0036689  0.74861
 -0.74499   -0.036815   0.1252     0.28207    0.002551   0.53418
  0.80496   -0.65568   -1.5403     0.38991   -0.024188   0.50788
 -0.018362  -0.49465   -0.48976    0.69214   -0.51012   -0.40327
  0.8837     0.46496   -0.0085653  0.52222   -0.31516   -0.049703
  0.38256   -0.48103   -0.011298   1.5025    -1.4031     0.3683
  0.36586   -0.085346  -0.0070179 -0.66589    0.27617   -0.52285
  0.77971   -0.11494   -0.10262   -0.22382    1.3039     0.10987
 -0.29674    0.34283    0.6819    -0.49181    0.49252   -0.047208
  0.50368    0.35882    0.53225   -0.11765    0.20817    0.27251
 -0.37705    0.1096    -0.77879    0.10885    1.0362    -0.69453
 -0.34224    0.35806    1.0641     0.12654  ]"
16,d'arc,"[-0.095458  -0.42526   -0.65155    0.46447   -0.41609    0.32976
  1.1941     0.48684   -0.064714  -0.56885    0.32613    0.41137
 -1.4481    -0.031527  -0.42042   -0.22255    0.14385   -0.98326
 -0.01741    0.4492    -0.12511   -0.099411   0.43401    0.82082
  1.2355     0.56747    0.11924    0.54474   -0.5644    -0.91995
  0.039856  -0.84293    0.34115    0.96794   -0.89224   -0.22475
  0.39121    0.7012     0.12536    0.506     -0.58205    0.0055352
 -0.56015   -0.2666     0.45366    0.93627   -0.61989    0.99257
 -0.36557    0.25567   -0.4697     0.32421   -0.395      0.17191
 -0.30929    0.38913    0.057807  -0.274     -0.7456    -0.11634
  0.68802   -0.51568   -0.28567    0.2866    -0.079053   1.1265
 -0.53972    0.21327    0.15251    0.12534    0.39295   -0.28975
  0.095832  -0.22044    0.17411   -0.26375    0.46801   -0.25157
  0.1707    -0.19202   -1.1948    -1.3575    -0.68032   -0.097631
  0.1736     0.20159   -0.20838   -0.16434   -0.043777  -0.50005
 -0.70355    0.3374     0.36236    0.56841    0.2534     0.19415
 -0.26166   -0.8013     0.2033     0.14995  ]"
17,enraging,"[-0.38172  -0.30163   0.21821  -0.18839  -0.087174  0.29334  -0.56837
 -0.3618    0.90053   0.15677   0.064561 -0.10135   0.44082  -1.0094
  0.47456   0.33418  -0.421    -0.90985  -0.3053    0.36649   0.24509
  0.05425   0.074672 -0.025074  0.39852   0.47969  -0.65429  -0.18509
  0.013454 -0.14992   0.027104 -0.30015  -0.19384   0.060068 -0.16432
 -0.04598  -0.023189 -0.12429  -0.4053   -0.46844  -0.62932   0.45752
  0.60293  -0.22254  -0.16993   0.06985   0.90782   0.013583  0.20294
  0.28143  -0.11695  -0.29047  -0.52764   0.22522  -0.14985   0.53605
  0.64051  -0.57036  -0.60694  -0.40942  -0.46415   0.13362   0.65174
  0.68958  -0.22409   0.083308 -0.18147   0.30876   0.67912  -0.041973
 -0.42588   0.46903  -0.076022  0.03858  -0.62208   0.32646   0.19529
 -0.15036   0.10224  -0.12188   0.11074  -0.12037  -0.31035  -0.041767
  0.044798  0.37937  -0.36825   0.43444  -0.32296  -0.25502   0.42925
 -0.28837  -0.020351 -0.29557   0.26251  -0.1913    0.050901  0.18889
  0.03104   0.10007 ]"
18,clanging,"[ 0.52044   0.02599   0.13277  -0.4164    0.098085  0.7233   -0.91238
 -0.25007  -0.20683  -0.088371 -0.12037   0.50292   0.11023   0.51761
 -0.17799  -0.55607  -0.77409   0.24672   0.48431  -0.43996   0.12582
  0.11773   0.10675   0.057107  0.49946   0.48529  -0.08955   1.3041
  0.10324  -0.28856  -0.064283 -0.75091   0.54006   0.39087   0.034824
 -1.2929    0.11806  -0.58625   0.78836  -1.0067    0.57576  -0.39206
 -0.23403  -0.23408  -0.52716  -0.31371   0.12014  -0.09827   0.64661
 -0.19688  -0.05985  -0.15592  -0.81892  -0.33307  -0.4306    0.44151
  0.20015  -0.061652  0.30497  -0.27186  -0.21099   0.066483  0.40019
  1.3003   -0.8913   -0.49135   0.038543 -0.31803  -0.69984  -0.37136
 -0.56538  -0.13891   0.71068   0.19074  -0.46185   0.10073   0.066336
 -0.60923   0.50456   0.23833   0.76623  -0.67904   0.14176   0.27573
 -0.18011   0.11258   0.039921 -0.083404 -0.21924  -0.28513  -0.22824
  0.2971   -0.63674  -0.12154   0.38779  -0.76351  -0.68013  -0.055508
  0.02743   0.69026 ]"
19,25-64,"[ 1.4642    0.74246   0.61302   0.44101  -0.98888  -0.22788  -0.38559
  0.66085   0.83671  -0.032322  0.90737  -0.046505  1.0021    0.41659
  0.55485  -1.3816    0.088243  0.067556 -0.3457    0.48879  -1.2466
 -0.99289  -0.058571 -0.71953  -0.57542  -1.4211    0.39707  -0.49352
  0.024954 -0.83184  -0.068807  1.4699    0.4542   -1.1511    0.90698
  0.043324  0.41262   0.21471  -0.25344   1.2399   -0.7351   -0.89795
 -0.067833 -0.055985 -0.1114   -1.3557    0.47456   0.36568  -0.66006
  0.55869   0.71676   0.83845  -0.10232  -1.307     0.39688   1.367
  0.59699  -0.53145  -0.49143   0.64425   0.28399   1.2245   -0.63153
  0.48787   2.0866    1.1653   -0.44382   0.084986 -0.028988 -0.80379
  0.33179   0.60096  -0.80987   0.7761   -0.38484  -1.3513   -0.1119
  0.32995   0.21891  -0.58706  -1.7417    0.087208  1.0058   -0.62859
 -0.43539   1.3346    1.0037   -0.45089   1.1936    0.33632  -0.32324
  0.31253  -0.58293   0.40321  -0.53656  -0.82037  -0.23008  -0.77586
  0.51244  -0.68496 ]"
20,chummy,"[-0.073211   0.018784   0.5838    -0.13907   -0.64516    0.11471
 -0.2145    -0.065255  -0.10763   -0.018259  -0.10963   -0.26177
  0.20614   -0.28503    0.13468    0.44403    0.034568  -0.51112
  0.068349  -0.67685    0.080783   0.53986    0.47234   -0.39986
 -0.031307  -0.048401  -0.66731    0.37099    0.12129    0.20682
  0.21167    0.19909   -0.029166  -0.27723   -0.081701   0.69474
 -0.16013   -0.59842   -0.13206    0.23454    0.85497    0.080398
  0.29903    0.15999   -0.69461    0.10379   -0.28095    0.37621
  0.46843    0.2588     0.0098527 -0.61758    0.071005  -0.68423
  0.027882  -0.021985   0.82671    0.054981  -0.4457    -0.51907
 -0.49616    0.041486  -0.011538  -0.20452   -0.62014    0.0089492
  0.59247    0.098828  -0.011751  -0.21556   -0.25082   -0.34014
  0.2165     0.018367  -0.72387    0.046761  -0.76499   -0.9037
 -0.06947   -0.15195    0.12815   -0.21538    0.63314    0.35935
 -0.035653   0.25843    0.22141    0.069526  -0.91222   -0.66577
 -0.26174    0.2076    -0.35571   -0.10683    0.5337    -0.088275
 -0.72834   -0.082069  -0.81128    0.65409  ]"
21,gohar,"[-0.76275   -1.1561     0.21661    0.28377   -0.97204   -0.50378
 -0.72019    0.061885   0.26585    1.1454    -0.49951   -0.62014
 -0.050499  -0.23845    0.29762    0.23369   -0.045081   0.24986
 -0.62938    0.10182    0.013856   0.41085    0.18228   -0.34829
 -0.45961    0.50615    1.046      0.060309  -0.32269    0.22028
 -0.32538    0.15169   -0.69398    0.029865   0.012478   0.79965
  0.27372    0.24439   -0.81835    0.25471    0.72944    0.18544
  0.52366    0.39389    0.19376   -1.021      0.25219    0.50306
 -0.20042    0.043987  -0.58693   -0.30675    0.81998    0.15403
  0.2028     0.93731   -1.2029     0.1264    -0.79219    0.25014
  0.0055829  0.18122    0.77852   -0.47743   -0.17376    0.67526
  0.9383    -0.36736    0.20812   -0.2178     0.26878   -0.37419
  0.33714   -0.15198   -0.81597    1.0984    -0.39781    0.099089
 -0.26722    0.397      0.12413   -0.42477    0.26198   -1.0614
  0.79546   -0.26488   -0.24645    0.057302   0.23832   -0.44044
  0.29214    0.97288   -0.048416  -0.29476   -0.13994   -0.1704
  0.53747    0.021979  -0.67485   -0.057097 ]"
22,entifadh,"[-0.37884   -0.34238    0.069093  -0.44155    0.62242   -0.84218
  0.18997   -0.73632    0.026105  -0.73313   -0.23098   -0.38881
  0.26077   -0.46789   -0.1356    -0.43129   -0.63729    1.0043
 -0.32304   -0.1711     0.095035   0.33948    0.3206    -0.5594
 -0.80867    0.61147   -0.46613   -0.54834   -0.23266    1.0835
 -0.36482   -0.99602   -0.018346  -0.20089   -0.26359   -0.31
  0.45004    1.2426     0.26426    0.3171     1.1588     0.49368
  0.28664    0.52099   -0.67679    0.64958   -0.4344    -0.36577
 -0.3547     0.54921    0.13867   -0.84142   -0.31028   -0.53072
 -0.37842    1.1608     0.62725    0.047965   0.10599   -0.88919
  0.85572   -0.83586    0.58224    0.067884  -0.3419    -0.27186
  0.033963   0.2787    -0.8422     0.052475   0.71065    0.0048582
  0.047089   0.094     -0.16302    0.37927    0.20484   -0.12759
  0.016752   0.097041  -0.37146   -1.009      1.3985    -1.0449
  0.65663    0.50205    0.23964   -0.15236   -0.035648   1.2695
  0.9983     0.020275   0.07666   -0.28453    0.36574   -0.16433
  1.0618    -0.38802   -0.92458   -0.49958  ]"
23,five-time,"[-0.13223    0.10893    0.27929    0.13915    1.23       0.015279
  0.42569   -0.019524  -0.36093    0.24769    0.0045565 -0.33111
  0.54941   -0.50564   -0.14975   -0.06207    0.36089   -0.3852
 -0.11606   -0.28333   -0.62748    0.26513   -0.36872    0.46268
  1.1875     0.06957    0.18555   -0.026615   0.61342    0.36556
 -0.79022    0.21684    0.25879    0.25849    0.75314   -0.056998
 -0.62488    0.23883   -0.15056    0.63943   -0.098492   0.57474
  0.45632   -0.10555    1.1393     0.69068    0.70404   -0.20105
 -1.0889     0.079168  -0.53922    0.10749    0.31561   -0.27378
  0.36873    0.31377    0.5696     0.82176   -0.54221   -0.35093
 -0.052193  -0.59729   -0.17639    0.41786    0.23931   -0.67293
 -0.15728    0.59333    0.66612    0.11716   -0.068677   0.54893
 -0.58716    1.2588    -0.18723    0.38818    0.28362   -0.17168
  0.66337   -0.55906    0.3776     0.13262   -0.096525   0.47708
  0.46284   -0.030236  -0.54337    0.20436    0.55377   -0.71678
 -0.050131   0.31705   -0.41533    0.74827    0.097343  -0.65794
 -0.15048    0.39983    0.069052  -0.15703  ]"
24,metered,"[-0.14136    0.43579   -0.10613    0.32927   -0.16726    0.68335
 -0.5024     0.58979    0.4623     0.3961    -0.62341    0.44551
 -0.32726    0.22339    0.64261   -0.099038  -0.50835    0.41213
  0.0095372 -0.94124    0.048509   0.13826    0.22907    0.20259
 -0.082893  -0.79119    0.70146    0.45677   -0.86893    0.36459
  0.27918    0.15631   -0.05061    0.034074   0.50112    0.87853
 -0.30311   -0.062662   0.3601     0.31859    1.275     -0.09294
 -0.43978    0.40182    0.32765    0.13164   -0.42193   -1.1067
 -0.058396   0.56842   -0.13114    0.035899  -0.28778   -0.17116
 -0.10466    0.031555   0.6426     0.68057    0.44555   -0.62567
  0.19488   -0.75997   -0.10135    0.65856    0.25175   -0.27048
  0.64603   -0.80854    0.2019    -0.91271   -0.85826   -0.80113
  0.69765    0.24549   -0.64108    0.08088    0.90479   -0.73039
 -0.41764   -0.84976   -0.049965  -0.20401   -0.33501   -0.58164
 -0.052078   0.27658   -0.23097   -0.14959   -0.58045   -0.033125
  0.12571    0.57646    0.13456   -1.0907     0.33154    0.3806
  0.059526   0.37584   -0.97011    0.62983  ]"
